cod_periodo;cod_segmento;cod_tarifa;cod_cliente;cod_terminal;hc_consumo
01/01/2017;seg1;100;1850;1665;49,50
01/01/2017;seg1;100;3998;3598;13,25
01/01/2017;seg1;100;9216;8294;48,41
01/01/2017;seg1;100;5430;4887;27
01/01/2017;seg1;101;498;448;32,33
01/01/2017;seg1;101;8193;7374;26,45
01/01/2017;seg1;101;8534;7681;33,25
01/01/2017;seg1;101;9570;8613;15,2
01/01/2017;seg1;102;2726;2453;34
01/01/2017;seg1;102;9768;8791;11,63
01/01/2017;seg1;102;6882;6194;21
01/01/2017;seg1;102;5586;5027;14
01/01/2017;seg1;103;4758;4282;42
01/01/2017;seg1;103;6345;5711;30
01/01/2017;seg1;103;5826;5243;19
01/01/2017;seg1;103;7284;6556;25
01/01/2017;seg1;104;9312;8381;46
01/01/2017;seg1;104;5897;5307;15
01/01/2017;seg1;104;3910;3519;24
01/01/2017;seg1;104;6795;6116;80,6
01/01/2017;seg2;100;1665;1499;44
01/01/2017;seg2;100;2988;2689;47,58
01/01/2017;seg2;100;9005;8105;28
01/01/2017;seg2;100;495;446;75,33
01/01/2017;seg2;101;5113;4602;22,25
01/01/2017;seg2;101;1761;1585;33,31
01/01/2017;seg2;101;4048;3643;66,5
01/01/2017;seg2;101;4535;4082;10,36
01/01/2017;seg2;102;5748;5173;37
01/01/2017;seg2;102;4398;3958;25,32
01/01/2017;seg2;102;5224;4702;17
01/01/2017;seg2;102;227;204;36
01/01/2017;seg2;103;9371;8434;22
01/01/2017;seg2;103;9469;8522;36
01/01/2017;seg2;103;1033;930;92,1
01/01/2017;seg2;103;2689;2420;31
01/01/2017;seg2;104;4207;3786;44,6
01/01/2017;seg2;104;3585;3227;36
01/01/2017;seg2;104;1898;1708;72,3
01/01/2017;seg2;104;5618;5056;14
01/01/2017;seg3;100;3252;2927;28
01/01/2017;seg3;100;426;383;22
01/01/2017;seg3;100;9174;8257;26
01/01/2017;seg3;100;7318;6586;45
01/01/2017;seg3;101;5760;5184;91,2
01/01/2017;seg3;101;3313;2982;35
01/01/2017;seg3;101;1216;1094;9,6
01/01/2017;seg3;101;2706;2435;33
01/01/2017;seg3;102;4214;3793;23,7
01/01/2017;seg3;102;2708;2437;21
01/01/2017;seg3;102;8201;7381;42
01/01/2017;seg3;102;8769;7892;13
01/01/2017;seg3;103;3060;2754;20
01/01/2017;seg3;103;3491;3142;38
01/01/2017;seg3;103;5434;4891;31
01/01/2017;seg3;103;5529;4976;37
01/01/2017;seg3;104;3719;3347;32
01/01/2017;seg3;104;5572;5015;44
01/01/2017;seg3;104;5712;5141;38
01/01/2017;seg3;104;1484;1336;1
01/02/2017;seg1;100;8172;7355;33
01/02/2017;seg1;100;295;266;43
01/02/2017;seg1;100;3629;3266;19
01/02/2017;seg1;100;5105;4595;36
01/02/2017;seg1;101;3753;3378;11
01/02/2017;seg1;101;6862;6176;28
01/02/2017;seg1;101;5818;5236;9
01/02/2017;seg1;101;461;415;32
01/02/2017;seg1;102;6454;5809;55,2
01/02/2017;seg1;102;6201;5581;46,32
01/02/2017;seg1;102;6893;6204;98,5
01/02/2017;seg1;102;6205;5585;10,8
01/02/2017;seg1;103;2953;2658;32
01/02/2017;seg1;103;3848;3463;34
01/02/2017;seg1;103;4920;4428;41
01/02/2017;seg1;103;444;400;10
01/02/2017;seg1;104;790;711;72,4
01/02/2017;seg1;104;2244;2020;17
01/02/2017;seg1;104;7021;6319;25
01/02/2017;seg1;104;6313;5682;45
01/02/2017;seg2;102;2240;2016;7
01/02/2017;seg2;102;5906;5315;23
01/02/2017;seg2;102;4186;3767;13
01/02/2017;seg2;102;2305;2075;44,15
01/02/2017;seg2;103;4356;3920;34
01/02/2017;seg2;103;4227;3804;25,55
01/02/2017;seg3;100;3311;2980;95,12
01/02/2017;seg3;100;9106;8195;13
01/02/2017;seg3;100;9560;8604;70,25
01/02/2017;seg3;101;2719;2447;28
01/02/2017;seg3;101;6582;5924;34
01/02/2017;seg3;101;143;129;38,35
01/02/2017;seg3;101;6083;5475;27
01/02/2017;seg3;102;201;181;32,3
01/02/2017;seg3;102;9641;8677;90,5
01/02/2017;seg3;102;6011;5410;49
01/02/2017;seg3;102;3512;3161;82,3
01/02/2017;seg3;103;6658;5992;38,2
01/02/2017;seg3;103;5819;5237;35
01/02/2017;seg3;103;4248;3823;35,3
01/02/2017;seg3;103;4855;4370;47
01/02/2017;seg3;104;6437;5793;27
01/02/2017;seg3;104;6342;5708;15
01/02/2017;seg3;104;2213;1992;28
01/02/2017;seg3;104;6064;5458;30
01/02/2017;seg1;100;359;323;40
01/02/2017;seg1;100;3858;3472;39
01/02/2017;seg1;100;2708;2437;10
